Start At:,"01/22/2020"
""End At:,"02/06/2020"
""User:,"Undefined"
""Sync Type:,"All"
""OS Type:,"iOS"
""Item Type:,"Success, Tips, Errors, Conflicts, Warnings"

"SyncStart","SyncType","Times Total (min:sec)","Mode","Sent","Recv","Message","Project Name / Date","WWW version / Date","User","Device"
"01/22/2020 06:06:36 PM","IncSync","00:19","Foreground","2","2000","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/20/2020 06:20:49 PM)","Ivan Brian Anyanzo","Idro’s iPad"
"01/27/2020 01:26:15 PM","IncSync","00:17","Foreground","2","0","Conflict message: ","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/27/2020 12:54:43 PM)","Ivan Brian Anyanzo","DESKTOP-A56KSQD"
"01/28/2020 12:42:51 PM","IncSync","00:17","Foreground","2","2500","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/28/2020 12:34:50 PM)","Ivan Brian Anyanzo","Jurugo’s iPad"
"01/23/2020 11:12:44 AM","IncSync","00:17","Foreground","2","1000","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/20/2020 06:20:49 PM)","Ivan Brian Anyanzo","Idro’s iPad"
"01/22/2020 09:13:41 AM","IncSync","00:17","Foreground","2","0","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/20/2020 06:23:53 PM)","Arthur Price","iPhone (4)"
"01/28/2020 12:14:53 PM","IncSync","00:17","Foreground","2","2000","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/28/2020 12:08:44 PM)","Ivan Brian Anyanzo","Idro’s iPad"
"01/22/2020 06:24:40 PM","IncSync","00:17","Foreground","2","1000","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/20/2020 06:20:49 PM)","Ivan Brian Anyanzo","Idro’s iPad"
"01/27/2020 06:09:11 PM","IncSync","00:16","Foreground","2","1000","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/20/2020 06:20:49 PM)","Ivan Brian Anyanzo","Idro’s iPad"
"01/22/2020 06:18:38 PM","IncSync","00:15","Foreground","2","1000","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/20/2020 06:20:49 PM)","Ivan Brian Anyanzo","Idro’s iPad"
"01/27/2020 06:10:50 PM","IncSync","00:15","Foreground","2","1000","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/20/2020 06:20:49 PM)","Ivan Brian Anyanzo","Idro’s iPad"
"01/22/2020 06:21:55 PM","IncSync","00:15","Foreground","2","1000","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/20/2020 06:20:49 PM)","Ivan Brian Anyanzo","Idro’s iPad"
"01/27/2020 01:21:50 PM","IncSync","00:15","Foreground","2","0","Conflict message: ","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/27/2020 12:54:43 PM)","Ivan Brian Anyanzo","DESKTOP-A56KSQD"
"01/28/2020 12:11:03 PM","IncSync","00:14","Foreground","2","4092","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/28/2020 12:08:44 PM)","Ivan Brian Anyanzo","Idro’s iPad"
"01/27/2020 01:31:32 PM","IncSync","00:14","Foreground","2","0","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/20/2020 06:20:49 PM)","Ivan Brian Anyanzo","Idro’s iPad"
"01/28/2020 12:18:47 PM","IncSync","00:13","Foreground","2","0","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/28/2020 12:08:44 PM)","Ivan Brian Anyanzo","Idro’s iPad"
"01/22/2020 06:06:16 PM","IncSync","00:11","Foreground","2","0","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/20/2020 06:23:53 PM)","Arthur Price","iPhone (4)"
"01/22/2020 05:18:24 PM","IncSync","00:07","Foreground","2","2500","Error message: Exception while fetching entity sf_q_survey__c
&lt;h1&gt;Bad Message 431&lt;/h1&gt;&lt;pre&gt;reason: Request Header Fields Too Large&lt;/pre&gt;
HTTP Error client error (431)","ProjectRole (01/21/2020 07:36:21 PM)","8d9d4af1-e6b4-4b4e-ac76-31a0a566d4fe (01/20/2020 06:23:53 PM)","Arthur Price","iPhone (4)"
